vertex_id,node_id,x,y,cluster_id
0,0,731.0,457.0,0
1,1,571.0,484.0,1
2,2,640.0,471.0,1
3,3,655.0,467.0,0
4,4,796.0,557.0,2
5,5,961.0,476.0,3
6,6,818.0,476.0,2
7,7,847.0,584.0,4
8,8,953.0,471.0,3
9,9,918.0,472.0,3
10,10,629.0,465.0,1
11,11,904.0,577.0,3
12,12,641.0,592.0,5
13,13,725.0,556.0,2
14,14,579.0,472.0,1
15,15,932.0,509.0,3
16,16,895.0,495.0,3
17,17,785.0,539.0,2
18,18,1007.0,579.0,3
19,19,642.0,554.0,6
20,20,630.0,453.0,1
21,21,828.0,503.0,2
22,22,938.0,543.0,3
23,23,687.0,444.0,0
24,24,693.0,497.0,0
25,25,619.0,469.0,1
26,26,604.0,462.0,1
27,27,778.0,475.0,2
28,28,919.0,593.0,3
29,29,795.0,581.0,2
30,30,706.0,438.0,0
31,31,669.0,451.0,0
32,32,907.0,537.0,3
33,33,613.0,448.0,1
34,34,695.0,604.0,2
35,35,585.0,468.0,1
36,36,934.0,480.0,3
37,37,708.0,440.0,0
38,38,632.0,503.0,1
39,39,875.0,495.0,3
40,40,928.0,476.0,3
41,41,882.0,514.0,3
42,42,709.0,484.0,0
43,43,604.0,477.0,1
44,44,915.0,525.0,3
45,45,682.0,450.0,0
46,46,763.0,485.0,2
47,47,618.0,475.0,1
48,48,990.0,500.0,7
49,49,881.0,526.0,3
50,50,658.0,458.0,0
51,51,897.0,489.0,3
52,52,723.0,433.0,0
53,53,787.0,475.0,2
54,54,891.0,474.0,3
55,55,620.0,455.0,1
56,56,959.0,475.0,3
57,57,845.0,479.0,3
58,58,758.0,467.0,2
59,59,925.0,506.0,3
60,60,563.0,470.0,1
61,61,594.0,455.0,1
62,62,945.0,493.0,3
63,63,790.0,615.0,2
64,64,774.0,548.0,2
65,65,711.0,457.0,0
66,66,627.0,450.0,1
67,67,886.0,533.0,3
68,68,961.0,600.0,3
69,69,686.0,556.0,0
70,70,806.0,509.0,2
71,71,714.0,468.0,0
72,72,703.0,441.0,0
73,73,1004.0,586.0,3
74,74,671.0,451.0,0
75,75,741.0,569.0,2
76,76,713.0,582.0,2
77,77,699.0,466.0,0
78,78,616.0,575.0,6
79,79,694.0,465.0,0
80,80,641.0,522.0,6
81,81,969.0,562.0,3
82,82,949.0,472.0,3
83,83,803.0,476.0,2
84,84,632.0,493.0,1
85,85,943.0,489.0,3
86,86,907.0,474.0,3
